semester_id;semester_no;studium_id;start_datum;end_datum
1;1;1;01.10.2022;31.03.2023
2;2;1;01.04.2023;30.09.2023
3;3;1;01.10.2023;31.03.2024
4;4;1;01.04.2024;30.09.2024
5;5;1;01.10.2024;31.03.2025
6;6;1;01.04.2025;30.09.2025
